,sequence,label
0,千元内的机子哪款手机比较好点，求推荐（要详细名称型号），这款手机怎么样啊（如下图这款机子在千元内配置算好不好啊,2
1,买新机求推荐求推荐一部华为，2000左右，我去看畅想8p的论坛，好像大家都不推荐,2
2,哪位大神给做个农药吃鸡手机的推荐……哪位大神给做个农药吃鸡手机的推荐横评，主要需要，性能（卡顿），屏幕，电池续航，手机耐用时间（几年换机）等方面，,2
3,求推荐，给家里老人用的手机要求：屏幕大，声音大，其他问题不大,2
4,请推荐一款二千五左右的手机，屏幕6寸以上请推荐一款二千五左右的手机，屏幕6寸以上,2
5,求大神推荐手机价格在2000-4000以内 平时比较喜欢摄影 偶尔玩玩游戏,2
6,千元机推荐一下性价比高的,2
7,求推荐六百元左右手机本人高三毕业生，希望各位帮忙推荐一款六百元左右的手机，最好待机长，反应快，另外我是女生不太热衷于打游戏，但是喜欢听歌，希望音质好些,2
8,音乐和视频的推荐呢，飞哪去了往下滑全都是新闻，这是肿么了,2
9,2000-3000手机有什么推荐？2000-3000手机有什么推荐？,2
10,求推荐今年真正最适合玩游戏的新款手机想知道知道今年新出的手机里，真正最适合玩游戏的是哪款，求推荐，我的p9实在实在不行了。,2
11,推荐一下畅玩7X高配版还是红米Note5马上红米Note5来了，求推荐一下买哪款好,2
12,111111手机推荐3000元价位左右的手机，性价比高的推荐几款,2
13,大家好，跪求。推荐性价比高的手机！目前本人学生党，手机坏了。打算购入两千到三千的手机，要求打刺激战场流畅，电量充足，没有大屏追求，不过希望屏幕占比高。,2
14,求手机推荐我要读大学了，想换一部手机用，价位在2000-3000左右，求各位大神推荐一部呗，万分感谢,2
15,以前谁买手机，我都推荐华为，以后不会了，真是受不了了，发热，卡顿，掉帧，什么号称500天不卡顿，刚买没多少，近来几个月买了四五部华为手机了，以后不会了,2
16,求推荐2000左右的华为手机，性价比好点求推荐2000左右的华为手机，性价比好点,2
17,2000左右的手机求推荐不高于2500，不低于1500 处理器不低于660 屏幕最好5.5-6.0及以上 运行内存6G 手机内存64/128,2
18,会退了 求推荐版本想回退个版本 哪位大哥推荐一下哪个版本打王者最适于,2
19,"【推荐】让手机持久流畅的方法replyreload += ',' + 349030893;以下是楼主一直以来的优化习惯，提早声明一下：造成数据丢失、死机变砖、重大文件丢失楼主不负责！游客，如果您要查看本帖隐藏内容请答复 祝大家的6X勇战750天",2
20,求你们！给我帮推荐一个手机吧荣耀play和vivo z1和oppo a3 这三个手机内那个跟好一些?,2
21,大家帮忙推荐下美团骑手用哪个华为型号没有延迟，荣耀8一直收不到派单，系统一直打电话，想换一款,2
