sequence,label
求前辈推荐单反！我自己用的是D3000套机+50 1.8的配置，平时自己一直在用，现在我有朋友问我5000预算下，什么单反性价比高一点，我自己只关注D3000，对其他不了解，所以特来我们的D3000论坛问下各位前辈，5000预算下什么机子性价比好,1
求推荐个2000以内的卡片相机本人小白，这是第一次买相机，求推荐个2000以内的卡片相机,1
问一下：中关村推荐的商家可信吗？http://dealer.zol.com.cn/detail/864/86360_298831.html 这是ZOL推荐的本地实体店，看了价格还算可以，就是不知道到底可信不？是不是佳能的总代理？谢了,1
师傅，能不能推荐一款自拍方便又可以满足日常用的相机给我？佳能N2，佳能N100，卡西欧ZR1500，卡西欧MR都不错。不知道哪款适合经常用手机自拍的我？,1
大神推荐一套吃鸡主机求大神推荐一套可以吃鸡的机子重点是还要直播预算6000-8000吧,0
各位军军推荐款小8能用的双口U盘呗各位军军推荐款小8能用的双口U盘呗,2
想买一个镜头，请大家推荐一下！想买一个镜头，请大家推荐一下！这几款镜头选哪个好？主要人像和旅游用，最好还能兼故拍些花花草草 Nikon/尼康 AF-S DX 16-85mm f/3.5-5.6G ED VR Nikon/尼康 AF-S DX 18-200mm f/3.5-5.6G ED VR II Nikon/尼康 AF,1
求推荐一下本本本人小白，什么都不懂。刚刚大一，感觉买不买笔记本无所谓，但现在买笔记本是惯例了，有个笔记本也方便，我不玩游戏，专业有需要制图的。其余也就看看电影，刷刷网页。当然可以打游戏更好，谁也不嫌配置高吧。 预算6,0
有没有大师帮我推荐一台绘图笔记本啊！7000以内的笔记本电脑（绘平面、CAD、3D、三维…）的，不卡、效果好的。 在线等挺急的！,0
想买入门级单反，求推荐？大家好，本人菜鸟一枚，想买个入门级单反练练手，请问买什么型号好呢？,1
买相机求推荐我想买一个照夜景，照星星的单反，求推荐,1
数码相机推荐小弟最近想入个相机，价格2500左右，主要用于家用，目前看中索尼HX30，请各位大大推荐，谢谢了,1
"帮忙推荐个摄影包买了一年的小8,每次外出拍照都是提个胶袋装着，觉得非常不方便！大家都用哪款包包的？不知买个小小的旅行包好不好呢？起码拍累了能装多瓶水解解喝！",1
A31t_16G R823T A53t R809T R9Plus 卡机 官方 刷机包 修复花屏 精品推荐最新刷机教程，今天要给大家讲解的是线刷教程，主要是教大家用A31t_16G R823T A53t R809T R9Plus 原厂官方系统刷机，A31t_16G R823T A53t R809T R9Plus 解账户锁，A31t_16G R823T A53t R809T R9Plus 定屏死机，A31t_,2
#尼康A900口碑点评# 性价比高，推荐购买优点：,1
R7st A37t R831S R8200 R813T 卡顿 售后 解锁包 解话机锁 售后推荐最新刷机教程，今天要给大家讲解的是线刷教程，主要是教大家用R7st A37t R831S R8200 R813T 原厂官方系统刷机，R7st A37t R831S R8200 R813T 解账户锁，R7st A37t R831S R8200 R813T 定屏死机，R7st A37t R831S R820,2
TX9C相机如何呀？有没有什么好的3000左右的相机推荐？hi 如题 谢谢啦,1
想买个专门玩游戏的本 5000左右的 推荐下呗想买个本 不知道买什么型号太多，属于小白类型的,0
小米 Note 3 全网通 能刷android原生系统CM之类的或者有近似的简约的系统推荐吗?zsbdzsbd各位,2
推荐推荐！！！我想入手一部S4050！！！本人是大二的学生，现在想入手一部S4050，我看到各位摄友的作品，何止是羡慕妒忌狠啊！！而且燃起了我对摄影的热情，熊熊烈火啊！！！（烧死你们···开玩笑~哈哈~）见到S4050的酷似单反的外表，30倍的长焦巨炮，24,1
谁给推荐个卖CPU的TB店如题,0
vivo荣获2016年度编辑推荐&拍照两项大奖2017年1月16日消息，作为年度最有影响力的行业盛典，第十五届IT影响中国盛典不断推陈出新，更深入更全面地倾听消费者的心声，并邀请行业泰斗、业内精英，IT生态产业先锋企业探究行业发展变革动态。由天极网内容团队,2
求大神推荐推荐一个3000左右的电脑，能做电子作业就可以。要性价比高的，拜托了。,0
求大神推荐一部四千以下的手机手机感觉跟不上了，想换一部，太贵的买不起，想买一部四千以下的综合性不错的手机，求推荐,2
