brand,product_name
联想（Lenovo）,联想(Lenovo)拯救者Y7000 15.6英寸游戏笔记本电脑(i7-8750H 8G 1T+128G GTX1050Ti 72%NTSC 黑)
华为（HUAWEI）,荣耀MagicBook 14英寸轻薄窄边框笔记本电脑（AMD锐龙5 8G 256G FHD IPS 正版Office）冰河银
戴尔（DELL）,戴尔DELL游匣G3烈焰版 15.6英寸游戏笔记本电脑(i5-8300H 8G 128GSSD 1T GTX1050Ti 4G独显 IPS)
联想（Lenovo）,联想Lenovo拯救者Y7000 15.6英寸游戏笔记本电脑(英特尔八代酷睿i5-8300H 8G 1T+128G GTX1050Ti 72%NTSC黑)
联想（Lenovo）,联想(Lenovo)拯救者Y7000英特尔八代酷睿 15.6英寸游戏笔记本电脑(i7-8750H 8G 1T+128G GTX1060 72%NTSC黑)
联想（Lenovo）,联想(Lenovo)330C15.6英寸英特尔八代酷睿商务影音笔记本电脑(i5-8250U 4G 1T+128G MX110 Office)黑
华硕（ASUS）,华硕顽石(ASUS) 五代FL8000UF 15.6英寸影音笔记本电脑(i7-8550U 8G 128GSSD+1T MX130 2G独显 FHD)星空灰
联想（Lenovo）,联想(Lenovo)小新潮7000 14英寸轻薄笔记本电脑(英特尔八代酷睿I7-8550U 8G 1T+128G R535 office2016)银
ThinkPad,联想ThinkPad 翼480（0VCD）英特尔8代酷睿14英寸轻薄窄边框笔记本电脑（i5-8250U 8G 128GSSD+500G 2G独显）
联想（Lenovo）,联想(Lenovo)拯救者Y7000P英特尔八代酷睿 15.6英寸游戏笔记本电脑(i7-8750H 8G 512G PCIE GTX1060 144Hz黑)
华硕（ASUS）,华硕(ASUS) 飞行堡垒5 15.6英寸游戏笔记本电脑(i5-8300H 8G 128GSSD+1T GTX1050 4G IPS)冰魂黑(FX80)
戴尔（DELL）,戴尔DELL燃7000 3代 14.0英寸轻薄窄边框笔记本电脑(i5-8265U 8G 256GSSD MX150 2G独显 背光键盘）冰河银
华为（HUAWEI）,荣耀MagicBook 14英寸轻薄窄边框笔记本电脑（intel八代酷睿i7-8550U 8G 256G MX150 2G独显）冰河银
联想（Lenovo）,联想(Lenovo)拯救者Y7000 15.6英寸游戏笔记本电脑(i7-8750H 16G 512G PCIE GTX1060 72%NTSC黑)
惠普（HP）,惠普（HP）战66 Pro G1 14英寸轻薄笔记本电脑（i5-8250U 8G 360G PCIe SSD 标压MX150 2G独显）银色
联想（Lenovo）,联想(Lenovo)小新潮7000 14英寸轻薄笔记本电脑(英特尔八代酷睿I5-8250U 8G 1T+128G R535 office2016)银
联想（Lenovo）,联想(Lenovo)小新Air 2018款 15.6英寸超轻薄笔记本电脑(i5-8250U 8G 512G MX150 Office2016)轻奢灰
