productId,url,name,brand,memory,disk,cpu,gpu,price
8132645,https://item.jd.com/8132645.html,联想拯救者, 联想（Lenovo）,8G,128G+1T,,GTX1050Ti,7499.0
7512626,https://item.jd.com/7512626.html,华为荣耀MagicBook, 华为（HUAWEI）,8G,256G固态,,Radeon Vega8 Graphics,3999.0
7341442,https://item.jd.com/7341442.html,戴尔G3, 戴尔（DELL）,8G,128G+1T,,GTX1050Ti,5999.0
7919324,https://item.jd.com/7919324.html,联想拯救者, 联想（Lenovo）,8G,128G+1T,,GTX1050Ti,6799.0
8461637,https://item.jd.com/8461637.html,联想拯救者, 联想（Lenovo）,8G,128G+1T,,GTX1060,8499.0
7765111,https://item.jd.com/7765111.html,联想Ideapad, 联想（Lenovo）,4G,128G+1T,,NVIDIA Geforce MX110 2GB GDDR5,4199.0
6961588,https://item.jd.com/6961588.html,华硕FL8000UF, 华硕（ASUS）,8G,128G+1T,,NVIDIA GeForce MX130,5199.0
8461494,https://item.jd.com/8461494.html,联想小新, 联想（Lenovo）,8G,128G+1T,,Radeon 535,50999.
6072622,https://item.jd.com/6072622.html,ThinkPad翼480, ThinkPad,8G,128G+500G,,AMD Radeon RX550 2GB GDDR5 独立显存,5699.0
8674557,https://item.jd.com/8674557.html,联想拯救者, 联想（Lenovo）,8G,512G固态,,GTX1060,9299.0
8317141,https://item.jd.com/8317141.html,华硕FX80GD, 华硕（ASUS）,8G,128G+1T,,GTX1050,5799.0
100000117758,https://item.jd.com/100000117758.html,戴尔灵越, 戴尔（DELL）,8G,256G固态,,,5599.0
7275691,https://item.jd.com/7275691.html,华为荣耀MagicBook, 华为（HUAWEI）,8G,256G固态,,NVIDIA GeForce MX150,5699.0
8461500,https://item.jd.com/8461500.html,联想拯救者, 联想（Lenovo）,16G,512G固态,,GTX1060,9499.0
7748348,https://item.jd.com/7748348.html,惠普HP ZHAN 66 Pro G1, 惠普（HP）,8G,,,Nvidia GeForce MX150,5299.0
8674543,https://item.jd.com/8674543.html,联想小新, 联想（Lenovo）,8G,128G+1T,,Radeon 535,5199.0
8484118,https://item.jd.com/8484118.html,联想小新Air, 联想（Lenovo）,8G,512G固态,,MX150 GDDR5 2G,5899.0
7271737,https://item.jd.com/7271737.html,华为荣耀MagicBook, 华为（HUAWEI）,8G,256G固态,,NVIDIA® GeForce® MX150,4999.0
7765113,https://item.jd.com/7765113.html,联想Ideapad, 联想（Lenovo）,4G,128G+1T,,NVIDIA Geforce MX110 2GB GDDR5,4799.0
100000011351,https://item.jd.com/100000011351.html,小米小米笔记本, 小米（MI）,4G,128G+1T,,NVIDIA GeForce MX110,3999.0
7174865,https://item.jd.com/7174865.html,华硕FL8000UF, 华硕（ASUS）,8G,128G+1T,,NVIDIA GeForce MX130,5199.0
5029717,https://item.jd.com/5029717.html,小米pro, 小米（MI）,8G,256G固态,,NVIDIA GeForce MX150 发烧级调校独立显卡,5599.0
100000011349,https://item.jd.com/100000011349.html,小米小米笔记本, 小米（MI）,8G,128G+1T,,NVIDIA GeForce MX110,4499.0
4335139,https://item.jd.com/4335139.html,AppleMQD42CH/A, Apple,8G,256G固态,,,7888.0
