sentence,label
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
都可以,answer_slot
没有要求,answer_slot
随便,answer_slot
没关系,answer_slot
没要求,answer_slot
都行,answer_slot
对品牌没要求,answer_slot
什么牌子的都行,answer_slot
我对这个没要求,answer_slot
无所谓,answer_slot
都OK,answer_slot
没有限制,answer_slot
telesin,answer_slot
hasselblad,answer_slot
motorola,answer_slot
联想,answer_slot
宝丽莱,answer_slot
agm,answer_slot
walmart,answer_slot
美图,answer_slot
努比亚,answer_slot
huawei,answer_slot
酷派,answer_slot
泰科易,answer_slot
长虹,answer_slot
21ke,answer_slot
gionee,answer_slot
canon,answer_slot
ricoh,answer_slot
小蚁,answer_slot
卡西欧,answer_slot
greatwall,answer_slot
fugn,answer_slot
魅族,answer_slot
sioeye,answer_slot
小默,answer_slot
moov,answer_slot
奥林巴斯,answer_slot
apple,answer_slot
kandao,answer_slot
instax,answer_slot
徕卡,answer_slot
casio,answer_slot
360,answer_slot
索尼,answer_slot
一加,answer_slot
lytro,answer_slot
松下,answer_slot
天语,answer_slot
荣耀,answer_slot
