sentence,label
都可以,whatever
没有要求,whatever
随便,whatever
没关系,whatever
没要求,whatever
都行,whatever
对品牌没要求,whatever
什么牌子的都行,whatever
我对这个没要求,whatever
无所谓,whatever
都OK,whatever
没有限制,whatever
Brand,need
BrandBrand,need
只要Brand的,need
Brand或者Brand的,need
Brand和Brand都可以,need
想买一台Brand的相机,need
买一台Brand或者Brand的相机,need
比较喜欢Brand的相机,need
比较喜欢Brand的微单,need
有没有Brand的,need
想要Brand的,need
Brand的相机不错,need
推荐一台Brand的相机,need
推荐一下Brand的相机,need
不要Brand的就可以,no_need
不要Brand的,no_need
除了Brand的都可以,no_need
除了Brand和Brand都可以,no_need
不喜欢Brand的,no_need
不要Brand的,no_need
不要Brand或者Brand的,no_need
只要不是Brand的就可以,no_need
Level,need
LevelLevel,need
只要Level的,need
Level或者Level的,need
Level和Level都可以,need
想买一台Level的相机,need
买一台Level或者Level的相机,need
比较喜欢Level的相机,need
比较喜欢Level的微单,need
有没有Level的,need
想要Level的,need
Level的相机不错,need
推荐一台Level的相机,need
推荐一下Level的相机,need
不要Level的就可以,no_need
不要Level的,no_need
除了Level的都可以,no_need
不喜欢Level的,no_need
不要Level的,no_need
只要不是Level的就可以,no_need
Frame,need
只要Frame的,need
Frame或者Frame的,need
Frame和Frame都可以,need
想买一台Frame的相机,need
买一台Frame或者Frame的相机,need
比较喜欢Frame的相机,need
比较喜欢Frame的微单,need
有没有Frame的,need
想要Frame的,need
Frame的相机不错,need
推荐一台Frame的相机,need
推荐一下Frame的相机,need
不要Frame的就可以,no_need
不要Frame的,no_need
除了Frame的都可以,no_need
不喜欢Frame的,no_need
不要Frame的,no_need
只要不是Frame的就可以,no_need
