id,产品类型,价格,传感器尺寸,传感器描述,传感器类型,型号,快门类型,显示屏类型,最高分辨率,有效像素,tags
0,微单,1.3万,全画幅（36*24mm）,"长宽比：3:2
除尘功能：自动，手动，添加除尘数据",CMOS,佳能EOS R(单机),电子控制焦平面快门,翻转触摸屏,6720×4480,3030万,工艺 做工 设计 操作 操控性 可玩性 使用体验 使用 体积 厚度 手感 触感 握感 握把 握持 质感 手柄 携带 便携性 外壳 机身 质地 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
1,微单,8999,全画幅（35.9*24mm）,"长宽比：3:2
除尘功能：自动、添加除尘数据",CMOS（支持全像素双核CMOS AF）,佳能EOS RP,电子控制焦平面快门,触摸屏，翻转屏,6240×4160,2620万,外壳 机身 质地 携带 便携性 使用体验 使用 工艺 做工 设计 菜单功能 按键 功能 防抖性 防抖 机震
2,入门单反,3699,APS-C画幅（22.3*14.9mm）,,CMOS,佳能EOS 200D套机(18-55mm IS STM),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 结构 外形 外观 操作 操控性 可玩性 续航 电池
3,高端单反,1.7万,全画幅（36*24mm）,,CMOS,佳能5D Mark IV(单机),电子控制焦平面快门,触摸屏,6720×4480,3040万,结构 外形 外观 蒙皮 风格 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能
4,微单,1.67万,35.9x23.9mm,图像传感器格式：FX,CMOS,尼康Z6,,翻转触控屏,,2450万,操作 操控性 可玩性
5,微单,9490,,"带原色滤镜的23.5mm×15.6mm(APS-C) X-Trans CMOS 4
传感器清洁系统：超声波振动",CMOS,富士X-T3(单机),焦平面快门,触摸彩色液晶显示屏（约100％视野率）,,2610万,体积 厚度
6,高端单反,9699,全画幅（35.9*24mm）,,CMOS,佳能6D Mark II(单机),电子控制纵走式焦平面快门,触摸屏,6240×4160,2620万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 工艺 做工 设计 外壳 机身 质地 操作 操控性 可玩性 携带 便携性 使用体验 使用 手感 触感 握感 握把 握持 质感 手柄
7,微单,4299,APS-C画幅（22.3*14.9mm）,"长宽比：3:2
防尘功能：自动，手动，添加除尘数据",CMOS,佳能EOS M50套机(EF-M 15-45mm IS STM),电子控制焦平面快门,旋转屏，触摸屏,,2410万,操作 操控性 可玩性 手感 触感 握感 握把 握持 质感 手柄 体积 厚度 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 工艺 做工 设计 携带 便携性 菜单功能 按键 功能
8,微单,1.33万,全画幅,,背照式CMOS,索尼A7 III(单机),机械电子快门,触摸屏,,2420万,追焦 追踪
9,高端单反,2.19万,全画幅（35.9*23.9mm）,,CMOS,尼康D850(单机),电子控制纵走式焦平面快门,触摸屏，旋转屏,8256×5504,4575万,噪音 声音 手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 工艺 做工 设计 追焦 追踪
10,微单,3999,APS-C画幅（22.3*14.9mm）,"长宽比：3:2
防尘功能：自动，手动，添加除尘数据",CMOS,佳能EOS M50(单机),电子控制焦平面快门,旋转屏，触摸屏,,2410万,操作 操控性 可玩性 手感 触感 握感 握把 握持 质感 手柄 体积 厚度 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 工艺 做工 设计 携带 便携性 菜单功能 按键 功能
